Molecule	Protein	UniProt	Gene	C1	C2	C3	C4	C5	C8	C9	C11	C14	C15	C16	C17	C18	C19	C20	C21	C24	C25	C26	C27	P1	P2	P4	P6	P9	P11	P13	P17	P18	P19	P20	P21	P24	P25	P27	P28	P29	P30	P31	P32
4876-32	Coagulation Factor IX	P00740	F9	17800.8	12358.7	15019.8	17116.5	21372.6	15339.6	21000.6	13974.1	15481.3	13076.9	15344.1	10514.8	17157.2	13495.6	12007.6	14424.9	14875.2	11823.3	12695.9	11314.7	20335.2	17202.2	14776.4	14499.6	14965.8	16946.1	12154.8	13931.2	16191.8	13989.5	12121.5	12889.4	11040.2	16817	14098.9	15988.6	13162.4	14887.6	10012.4	15935.8
4878-3	Coagulation Factor X	P00742	F10	2059	1940.2	1851.2	2211.4	2258.1	2092.2	2807.1	1527.6	2280.5	1614.7	1675.7	1319.9	1815.2	2005.6	1332.8	1811.4	1859.6	1663.8	1294.9	1384.7	2256.2	2086.7	1607.7	2171.5	1914.3	1938.5	1728.9	1800.7	1653.3	2075.2	1526.4	2098.5	1648.4	2256.9	2041.8	2040.6	1923.6	1907.2	1393.5	2268.6
4880-21	GDF2	Q9UK05	GDF2	2521.7	2414	4856.8	2495.3	2221.3	2671.1	2488.9	2672.5	2204	2089	2773.2	1955.6	2269.5	3361.4	1800.1	3705.9	2139.1	1903.4	2740.9	1680.1	1968.7	2234.4	2917.9	1802	2745.4	2429.2	4280.2	2396	1956.5	2714.2	2123.9	1767.7	2219.3	2415.1	2153.8	2573.9	2587.3	2296.9	2387.6	2776.4
4883-56	Insulin	P01308	INS	174.9	132.8	184.2	123.7	413.4	126.4	132.6	148.8	109.4	132.1	160.5	88.1	144	336.6	186.7	185	135.3	275.4	172.6	88.5	128.5	129.4	244.8	153.1	114	190.8	200.8	115.4	334.1	162.7	120.3	151	114.1	939.9	85	251.4	127.5	135.2	139.4	212.9
4886-3	MCP-3	P80098	CCL7	670.9	855.8	1499.7	1296.3	676.5	802.9	679.3	1427.6	968.7	642.4	1180.3	608.8	807.2	825.8	585.4	1201.6	456.8	581.2	719.5	478.8	765.4	664.8	693.8	617.6	882.3	815.9	1046.9	694.1	613.8	793.1	522.6	547.4	651.5	1081.4	527.4	873.2	638.1	640.1	954.7	687.9
4889-82	WNT7A	O00755	WNT7A	232.4	266.5	615.2	215.4	239	264.2	201.6	295.4	204.5	179.4	347.6	189.4	216.2	201.9	175.8	359.3	296.9	181.3	231	149.3	220.6	259.4	226.1	300.4	269	269.1	331.1	210.2	185.6	215.9	222.6	194.8	206.2	312.2	187.2	287.5	180.4	206.8	251.8	218.9
4890-10	ACTH	P01189	POMC	576.8	551	1188	520.8	636	603.3	797.7	707.6	500.3	454	863.3	437.8	451.6	554.9	390.7	952.4	474.6	603	541.3	357.2	429	516.9	573.9	421.5	651	591.9	772.1	532.1	415.5	444.2	464.5	441	481.7	734.8	357.9	667.1	426	440.7	653	528.1
4891-50	Glucagon	P01275	GCG	1933	4681.5	1911.8	515	1654.3	1300.6	1932.6	1262.3	1040.7	1621.3	568.5	2070.9	3031.2	2758.8	1196.1	2780.5	1922.4	1186.1	1291.2	1520	1729.3	2171.6	1283.9	774	2330.9	6748	1775.2	1451.1	1195.6	1330.9	1051.9	862	1546.2	2281.2	1375.6	5137.8	2188.7	735.4	4589.7	3868.2
4900-8	C3a	P01024	C3	185546.2	150444	171693.2	158424.6	165215.1	143816.6	139967.6	157648.7	147443.8	122695.7	139358.3	119231.5	155449.8	150210	109386.2	138769.3	126209	111730.1	133407.4	139518.3	167737.9	161085.4	141620.2	163389.1	143310.8	144432	113724.6	156008.4	150341.3	118338.7	133370.3	150181.9	124360.1	140453.5	127361.5	150760	158487.5	130896.3	113497.2	119349.6
4903-72	Calcineurin	Q08209  P63098	PPP3CA PPP3R1	13944.7	12057.9	12452.8	14046.5	14405.1	16705.1	10297.5	24055	19464.7	25367	33285.5	22393.1	15153.5	23173.9	6703.2	15138.2	29643.1	25056.6	32707.4	17342.1	16621.9	13521.3	8834.9	7836.6	13221.3	21809	22830.2	47973.4	20905.6	17799.3	12762.8	8344	21329.5	19989	11961.9	27596.1	7052	19197.1	28689.2	14187.3
4904-7	Caspase-2	P42575	CASP2	548.8	581.4	1201.6	472.1	805.4	588.4	419.7	708.6	556.7	506.1	939.3	426.7	519.7	494.7	524.7	1222.8	436.5	1875.1	548.4	345.7	414.9	475.9	668	440.3	486	586.5	858.6	1061.1	418.8	456	431.8	549.9	426.4	712.9	342.5	673.3	429.5	449.7	658.8	493.6
4905-63	Coactosin-like protein	Q14019	COTL1	1533.5	1580.9	2285.4	1513.2	1436.9	1632.3	1370	1558.2	1285.6	1291.2	2731.6	1186.8	1368.2	1606.7	1249.5	4112.2	1134.7	1103.2	1577.5	1147.5	1386.4	1368.8	1368.4	1255	1394.4	1448.9	2449.6	1515.8	1436.7	1374.9	1654.7	1276.2	1780.7	1671.3	1158.5	1796.3	1167	1249	1727.1	1492.7
4906-35	Coagulation Factor V	P12259	F5	35611.1	12636.4	22875	30547.2	18799.6	15392	24685.3	16610.1	25821.1	18463.8	10232.5	13907.2	19916.3	24112.9	18237.8	14884.2	12229.4	20561.8	20902.1	17939.5	25616.6	31252.2	16747	20568.3	12149.2	25546.2	19264	33847.4	21586.9	12176.9	21825.6	18351.6	19972	15545.3	18934.9	22520.9	11710.5	21099.8	16669.2	31007.7
4907-56	D-dimer	P02671 P02675 P02679	FGA FGB FGG	24324.4	23796.8	11042.1	21025.6	11796.5	17116.3	95061.2	12558.7	13207.8	14891.9	9311.1	9689.9	75589.9	21282.3	13985.4	2230.7	13489.1	15928.1	14695	11149.4	20109.1	50235.2	14449.9	15671.7	20361.5	36151.7	6847	72873	12738.2	15848.9	33619.9	19532.2	32179.1	15456.6	9333.6	26501.3	9862.6	18226.8	14836.2	82910
4908-6	Endoglin	P17813	ENG	2878.7	3093.3	2786.7	3182.4	3602.4	2216.5	2686.2	2618.4	2971	2918	2204.7	2159.1	3401.9	3165.6	3020.9	3212.2	2770.3	2618.7	2613.9	3134.8	2436.9	2379.3	3468.4	2544.8	3434.2	3819.7	2744.1	2653.3	2752.1	2652.4	2648.8	3034.1	3308.9	3159.5	3110.3	2782.8	3451	2440.8	3317.8	3504.8
4909-68	Galectin-8	O00214	LGALS8	196.5	194	350.9	179.3	210.9	209.2	179.5	222.4	186.7	183.2	246.7	187	216.1	233.3	146.9	290.2	160.5	415.1	219.6	149.2	165.3	297.7	196.8	187	276.6	227.9	243.6	238.7	176.7	184	192.4	186	168.1	243.3	155.6	234.7	168.1	168.8	221.5	201
4910-21	GIB	P04054	PLA2G1B	663.8	549	843.8	635.8	939.8	678.8	482.6	573.8	663.3	624.1	756.7	1128.7	556.4	555.4	512.3	955.9	621.7	450.9	619.4	444.5	714.8	547.5	638.7	567.2	667.1	897.3	758.8	518.7	516.8	630.8	603.1	455.3	539.9	582.6	605.2	1028.4	434.1	483	1512	652.1
4911-49	Glutathione S-transferase Pi	P09211	GSTP1	5028	4471.3	5858	5927.7	3051.2	5623.8	4723.5	4195.3	4461.5	3898.7	6859.9	4648.6	4136.9	3823.4	2781	6855	4373.7	4293.9	6347.4	3167.4	3237.7	3920.3	3038.1	3812	3672.6	4859.6	7025.6	7213.3	4918	3987	4111.7	4383.8	4473.9	4354.6	5086.4	5815.1	2368.6	5000.7	5644.3	5016.8
4912-17	GOT1	P17174	GOT1	2316.3	2139.3	2597.2	2126	2351.3	2431.9	1639.2	2307	1987.3	1637.5	2935.8	1672.4	1874.9	1916.7	1754.4	3852.3	1575.5	1735.4	2136.3	1617.9	2398.3	2095.8	1741.8	1929.4	2021.1	2281	2798	2117.8	2130.8	1724.5	2124.8	1986.1	2019.6	2106.4	1360.7	2685.9	1314.7	1577.2	2301.8	2014.8
4913-78	HCC-4	O15467	CCL16	22273.5	18328.4	22583.8	16445.8	22279.6	18199.5	12658.7	14891.6	20815.2	17354	15629.7	10924.8	12738.9	23103.3	20146.9	17044.7	18695.9	11565.2	1365.2	10024.6	30854.1	11588.8	19652.9	23392	11360	23901.1	10750.1	18074.8	24160.2	16420.7	17054.7	11211.9	8680.2	22115.1	13999.2	20645.7	24011.9	22154.7	24332.3	13205.8
4914-10	HCG	"P01215,P01233"	CGA CGB	8389	2252.6	7079.8	384.4	5804.2	2344.4	5508.3	744.8	983.7	431.3	8259	1800.2	2950.4	1496.7	375.6	1227	330.4	1090.6	1582.3	1820.8	1128.8	410.8	488.4	379.3	3669.9	3053.2	3872.6	13600.3	5601.1	2150.9	2646.9	465.7	1202	1010.3	4506.1	5608.1	493.3	348.5	5253.2	4009.6
4915-64	Hemoglobin	"P69905, P68871"	HBA1 HBB	1927	2558.5	4480.4	2616.3	1888.6	6717.4	1992.3	1303.8	2702.4	2090.6	7806	1913.9	2152.8	1759.9	2291.4	4087.5	3304.4	1910.4	2131.2	2114.3	1765.8	1608.7	1851.6	1527.5	1770.7	7280.4	5799	4116.9	1609.8	2295.5	3217.1	4872.5	5227.2	1573.2	6357.2	3075.2	3021.8	2216.1	13343.4	4590.5
4916-2	IgD	P01880	IGHD  IGK@ IGL@	2187.8	5787.8	11332.9	776.4	3046.6	3154.4	3677.2	2121.9	2175.9	769.9	766.1	12914.8	362.5	984	2332.5	7843.4	2771.9	2538	6533.9	3488.8	1102.4	8008.8	434.9	612.9	947	3406.9	2968.9	161.4	936.5	947.8	1270.3	1567.6	215.5	1932.8	632.2	4400.3	2069.3	1230.3	2457.4	3312.7
4917-62	Integrin aVb5	"P06756, P18084"	ITGAV ITGB5	1634.8	1677.7	1633.3	1719.7	1316.3	1404.5	1405.8	1280.2	1532.8	1409.6	1532.9	1099.5	1593.9	1588.4	1242.8	1194.8	1090.5	1518.4	1289.9	1253.5	1418.3	1464.8	1145.4	1165.9	1510.4	1606.3	984	2167.2	1841	1868.8	1385.4	1371.9	1678	1515.6	1848.9	1600.8	3164.9	1248.9	2007.6	2154.4
4920-10	Lysozyme	P61626	LYZ	1784.6	1381.4	1468.2	2030	856.3	1338.9	5841	1117.4	1007.8	975.5	1395.2	984.1	1931	971.8	870.4	1740.8	798.6	1348	1382.4	956.4	1610.2	1400.2	1238.5	1173.8	1053	7035.2	1254	1676.2	1414.1	996.3	1232.4	970.7	1173.1	1510.2	796	1187.7	850.4	2166.5	1011.3	1853.4
4922-13	MIP-3b	Q99731	CCL19	493.1	538.8	639.7	1021.5	448.5	405.4	445.2	530.3	369.7	441.1	1195	339.3	480.7	988.5	431	703.3	471.4	1346.7	431.6	364.2	437.1	399.5	544.2	3021.5	442.2	525.9	567.6	597.4	453.7	467.2	420.9	624.2	389.6	733.2	323.8	533.4	398.6	464	516	465.9
4923-79	MIS	P03971	AMH	6770.3	8623.3	10317.7	7591.9	6247.4	8359.1	6411	6122	7068.8	6409	10679	5033.4	5869	5623.1	5884.7	12503.8	4614.5	4842.6	7269.9	4896.3	5339	6306.2	6705.7	5870.5	6952.4	7394.6	10239.8	6084.5	6372.7	7391	7169.3	7175	7473.9	7419	5891.9	6807.3	6912.1	6428.8	6752.2	8305.5
4924-32	MMP-1	P03956	MMP1	24816.8	28721.6	53863.4	8762.9	45486.4	34596.6	12159.5	44933.9	10742.8	21620.6	26262.2	18521.8	22353.9	25441.7	14983.7	49461.8	24713.5	15463.8	31009.7	7660.6	42530.4	26257.5	10199.7	6049.2	44594.5	30109.4	47091.5	24041.1	37396.1	20410.5	15830.8	12395.2	26207.5	28705.5	3777.7	23590.2	9324	10094.8	45928.8	26956.1
4925-54	MMP-13	P45452	MMP13	513.3	352.4	520.5	435.1	414.8	509.3	412.6	384.7	357.4	317	527.7	338.7	343.9	353.6	368.1	584.5	381.3	491.8	457.2	382.5	335.5	349	445.7	355.4	411.3	422.1	471	377.4	389.4	334.5	466.7	375.6	315.1	433.5	8993.5	407.7	300.6	418.1	468	361.6
4929-55	SHBG	P04278	SHBG	1457.9	9747.5	6818.9	6013.4	3506.7	3845.1	16900	3607.8	10524.7	16296.9	3220.8	10547.3	5807.3	6105.3	4665.2	8543.2	34909.1	14352.1	3209.9	14442.9	3434.2	6134.5	9926.4	2751.7	8047	12925.6	11326.2	10967.7	6110.7	12095.8	7280.5	7690.1	12148.8	1672.3	9823.3	7587.3	30060	12519.2	15896.3	7334.7
4930-21	Stanniocalcin-1	P52823	STC1	2742.6	1264.7	2063.7	1351.3	1573.9	1698	1270.6	1651.5	1597.3	1884.2	1580.1	1185	1182.2	1978.2	1345.1	1366.5	1262.3	1081.4	1709.2	1259.2	1918	1753	1653.7	1845.2	1681	2454.2	1750.7	1202.7	1599.4	1296.9	1438.6	1802.4	1561.6	1571.4	1934.1	1278.7	1433.1	1485.7	1323.3	2347.5
4931-59	TF	P13726	F3	1061.4	1263.7	1891.3	1285.3	1568	1120	1210.6	1162	1102.9	1097.8	1543.1	995.3	962.1	1025	1132.2	1971.5	848.7	894.7	1088.4	794.9	1184.4	1069.6	1305.4	1261.3	1198.1	1378.5	1755.2	1202.4	1032.1	1004.1	1113.8	1329.7	1261.4	1578.6	1119.5	1482.4	1221.7	1068	1484.5	1106.1
4956-2	EPI	O14944	EREG	1310.2	1036.9	2350.3	1024.2	1134.3	1324.6	1963	1411.5	949.7	1249	1770.1	916	1110.9	1051.5	81847.1	1833.8	783.2	17380.1	1432	620.6	809.4	858.7	1043.9	991.4	1090.6	1168.6	1788	1094.8	843.5	2243	866.7	1416.7	796.6	5962.2	691.5	1299.2	756.8	987.8	1333.5	1180.9
4959-2	AGR2	O95994	AGR2	1354.3	1242.8	2585.1	1312.1	1269.7	1313.6	1217.4	1455.8	1149.1	979.6	2411.9	787	963	1614.8	955.4	3724.1	844.1	834	1193.1	723.2	841.8	994.1	1522.9	908.9	966.6	1256.5	1754	1080.7	1089.3	1093.9	882.7	879.3	911.5	1313.9	968.5	1253.9	1315.1	988.9	1251.7	1192.9
4960-72	annexin I	P04083	ANXA1	32826.4	23538.4	35643	35575.6	11083.5	18662.3	6464.4	5765.7	9460.4	10052.3	26060.9	8959.6	9654.2	9105.5	16686.4	30727	5498.3	7516.9	14979	5936.7	12001.1	9953.8	9374.2	8711.4	7087	12129.7	61242.5	26171.1	8801.4	11469.3	13021.3	13650.7	10609.8	7889.5	22999.9	9385.8	6852.3	9942.5	8812	16011.5
4961-17	annexin II	P07355	ANXA2	818.7	850.2	1184.6	1135.9	1135.3	848.4	826.6	990	1093.3	820.1	1220.9	817.4	1659.5	950.6	768.6	1132.9	719.2	1291.2	1008.4	710.6	814.2	808	868.8	898.5	838.6	1101.5	1282.9	946.8	876.3	899.1	1019.9	1076.7	809.8	1078.9	710	1067.9	906.4	990.4	1139.4	994.1
4962-52	ARMEL	Q49AH0	CDNF	1951	1759.1	2482.3	1745.6	2417.1	1768.2	2168.4	2194.5	1808.1	2015.7	2230	1681.5	1721.3	1959.2	1710.1	2581.1	1542.7	1522	1725.4	1569.9	1977.1	2028.8	2541.3	1736.6	1750.2	2433.6	2371.5	1978.8	1746.5	2086.1	1535.6	1538.8	2036.9	2448.7	1927.1	2772.4	1954.1	2293	2423	1955.3
4963-19	ARP19	P56211	ARPP19	640.9	675.2	1204.4	914.7	724.7	684.7	608.3	840.6	624.4	604	1032.5	575.5	988.7	659	459.2	1088.7	624.3	708.2	836.1	482.2	549.6	577.6	617	562.4	658.5	775.3	938.6	794.6	566.7	583.3	626.4	557.1	644.3	934.9	459	898.3	585.6	623.9	793.3	663.5
4964-67	ARTS1	Q9NZ08	ERAP1	8409	2117.5	6075.3	1990.6	6802.1	4694.9	3591.5	8928.3	914.5	3642.4	4228.9	3942.3	5843.8	5932.4	4966.5	5536	4009.1	10990.6	10210.6	4152.7	2952.9	5814.6	4378.6	6873.6	3978.7	2965.5	5257.3	5442.7	2591.1	2042.4	5549.7	5255.2	813.8	1265.2	2634.3	4610.8	2962.6	11546.1	5370.1	6296.9
4965-27	ATP synthase beta chain	P06576	ATP5B	6254.1	6542	17649.4	6214.7	5848.8	5832	3503.2	6483.2	5860.8	4934.7	19024	2525.8	3631	5764.2	4959.9	35935	2476.3	2474.9	5473.3	2615.5	2492.7	2461.3	6932.1	3509.2	3143.6	4333.7	12005	4520.5	3620.9	6219	4489.3	3094.4	3684.3	4712	4858.9	4597.2	6494.4	4089.5	5050.7	6415.6
4967-1	C1QBP	Q07021	C1QBP	4472.9	3817.2	5477.9	4465.8	6020.2	4115.8	3634.5	3921.8	3752.6	3433.7	5594.1	3181.1	3583.8	4031.1	3336.4	7691	3132.3	3055.6	3935.5	3018.3	3945.7	4279.3	4439.3	3659.4	3461.9	4211.5	4997.5	4083.5	3919.5	3763.6	3798.8	3340.1	3621.1	4251	4223.7	4805.5	3052.8	3426.6	4338.1	4078.5
4968-50	CAPG	P40121	CAPG	1802.9	1248.1	2013.1	1973.7	1335.5	1270	1164.4	972	1016.2	958.8	1381.1	930	1409.3	1108.6	1002.2	1803	589.3	664.9	1079.8	793.9	1015.2	851.4	1261.6	1178.3	886.8	1212	2437.4	1731.8	1319.2	1335.3	1171.4	1310.4	1436	1191.5	1505.2	1207	1040.7	1380.7	1226.4	1525.6
4969-2	Carbonic anhydrase I	P00915	CA1	56669.3	52661.4	52190.2	43783.2	59154.8	84012	44002.8	35755.1	54142.7	48738.1	84044.6	33987.4	36523.3	33029.4	44689.1	64421.5	27529.3	21152	35955.9	27694.4	43314.7	38153.4	36559.4	34500.1	34008	54746.1	79544.3	54075.6	34940.4	52934.6	37839.9	49787	42214.4	37316.5	55420.4	56390.1	34368.8	50842.8	69719.2	54354.6
4970-55	carbonic anhydrase II	P00918	CA2	274.6	265.3	525.6	238.1	286.1	307.5	272.2	342.9	248.9	219.5	380.5	217.6	243.6	264.3	211.4	441	235.4	232.9	251.8	172.4	256.4	253.9	313.3	235.7	366.8	315.5	365.4	261.1	207.8	234.9	221	321	209.7	361.3	183.8	324.7	261.3	233.3	311	318.7
4971-1	CATZ	Q9UBR2	CTSZ	1861.3	2155.3	2420.2	2269.4	2435.4	1969.2	2643.8	2190.6	1361.4	1793.9	2038.1	1190.5	1957.5	2161.3	1411.8	2673	2216.5	1577.9	1873.9	1354.6	2002.6	1541.4	2304.6	2670.8	2258.5	2262.2	2750.8	1688.6	2048.7	2013	1814.1	1376.8	3923	3264.7	1722.4	2326	2158.4	2168.1	2341.6	2086.8
4973-18	cIAP-2	Q13489	BIRC3	182.4	239.2	428.9	179.5	233.4	204.5	208.5	264.9	181.7	179	293.6	151.2	199.9	210.6	144.2	365.2	163.7	153.7	185.8	138.6	155.7	195.5	226	156.5	175.3	199.8	270.6	190.3	145.7	182.9	161.4	170.6	161.1	289.7	157.5	240.1	191.6	180.3	499.8	197.6
4976-57	CRK	P46108	CRK	6920.8	6312.4	7407.8	6976.6	7094.6	9083.2	6183.1	8789.2	9316.2	8536.5	13354.2	8685.9	6727.5	7677.5	4664.8	10613.4	9194.4	7954.4	13208.1	6343	6395.5	5853.8	4914.1	5104.7	6056.8	10257.9	10240.3	14725.1	7604.5	7360.6	7086.3	5290	8204.4	8960.6	6004.6	12059.1	5012.2	8443	11219.1	7652.6
4978-54	DBNL	Q9UJU6	DBNL	1762	1402.1	1735.9	3711.6	1636.6	1594.2	1444.4	1829.4	1668.7	1870.5	2512.9	1575	1683.3	1742.7	1147.3	1844.9	1882.9	1759.7	2087.7	1546.7	1536.2	1458.9	1514.2	1349.6	1530.5	1817.3	1770.5	2324	1494.7	1527	1860.5	1300.2	1537.1	1714.2	1319.7	2166.4	1432.8	1721.4	2102.5	1652.9
4979-34	DERM	Q07507	DPT	2730.1	2650.5	1694.6	3920.1	2212.8	2292.5	1900.9	2216.5	1498.1	1407.1	2233.8	1567.9	2225	3304.4	1455.7	2036.7	1321.6	1656.8	1457.7	1208.1	3139.4	2091.6	2079.3	2057	2086.3	4078.3	2266.6	2519.3	1959.1	2509.6	3080.4	1960.6	1968.7	2023.9	1631.8	2075.8	1650.1	3665.1	1967.3	3254.7
4981-6	DSC3	Q14574	DSC3	397.9	356	625.2	302.9	348.8	437.2	309.2	391.6	310.9	311.6	519.4	294.8	291.6	330	260.3	464.7	293.4	273.2	337.9	239.4	297.7	301.9	363	325.8	318.9	375.5	447.4	314	268.8	337	271.1	337.1	290.5	469.5	283.1	393.9	316.1	306.4	405.9	353.8
4982-54	Elafin	P19957	PI3	4951.2	3007	6373.4	14861.2	6326.3	9469	10042.1	4512.4	5124.9	8039.4	4851.3	5820.8	4652.7	2652	5594.3	4936.3	5168	3416.3	4218.2	7007.2	4931.5	3858.6	3790.2	8689.9	5030.6	6554.6	5726.1	5271	3506	6737	4959.9	3117	9336.7	8365.6	3501.1	4432.3	3898.7	4988.7	8191.4	6450.2
4984-83	Esterase D	P10768	ESD	2308.3	1176.2	1438.8	1579.9	1406.4	1486.6	1046.5	954.4	1040.2	962.6	1904.2	837.2	936.6	1260.2	929.3	2281.7	853.3	769.4	1205.3	734.4	980.2	1110.8	1034.8	1179.9	792.4	1793	1369.1	1240.6	1074.5	1048.8	1057.6	915.1	996.2	1256.2	984.5	1656.4	716.8	1009.2	1355.4	1172.4
4985-11	FABPE	Q01469	FABP5	1375.4	1474.8	1932.5	1041	1492.6	1326.1	1187.1	1338.6	1279.7	881.8	1618.4	1000.6	1048.5	1102.1	963.3	2064.6	924.4	1064.9	1124.2	761.2	862.5	1681.9	1119.9	1018.6	1078.1	3310.4	1806.3	990.8	1000.1	1157.1	930.7	1147.7	2173.2	1481.8	1076.9	9771.5	1082.8	936.3	1221	1098.6
4986-59	FAK1	Q05397	PTK2	187.3	196.2	288.3	175.8	177.4	196.1	210.9	199.8	177.8	439.7	241.9	169.5	172.9	159.9	914	286.5	227.7	150.3	179.7	125.5	152.1	173	179.4	165.9	291.8	211.7	305.5	194.2	149.2	288.9	167	173.1	177.2	211.6	143.9	195.2	167.9	204.9	188.6	213.8
4987-17	FCAR	P24071	FCAR	378.9	407.1	645.4	391.9	408.6	408.3	413.2	445.1	348.6	358.4	610.1	276.6	383.3	382	285.9	853.7	359.9	305.9	371	259.8	264.3	415.2	449.6	342	332.9	390.2	494.5	386.4	305.9	362.1	345.1	331.2	346.5	450.3	311.9	413.6	376.8	352.1	405.2	407.4
4988-49	FGFR4	P22455	FGFR4	852.7	913.2	1715	15276.8	8995.5	1084.1	1081.3	1204.4	862.2	807.2	5510	751	757.7	886.6	603.1	1648.9	1052.4	1840.4	1109.8	821.4	745.3	1031.7	898.7	957.6	1032.8	1185.7	1403.2	1040.5	643	801.1	808.1	852.7	684.8	1070.1	1640.9	1046.4	855.1	1810	1185.7	895.9
4989-7	Fibrinogen g-chain dimer	P02679	FGG	53170.2	53925.3	25523.3	46019.6	27188.4	38687.8	130684.5	29216.3	29985	33662.3	20772.4	21870.7	126132	51094.2	31761.7	4440.6	30332.5	33980	32147.9	25471.2	47109.9	103686.8	32720.4	34849.6	45515.9	80059.2	14908.3	122763.1	28843.6	36505.2	70447.4	47102.3	68775.8	32883.8	20861.9	59611.8	22698	41368	32822.4	123471.9
4990-87	GP1BA	P07359	GP1BA	1638.4	1565.9	1979.6	1656.4	1717.2	1801	1838.5	1973.3	1540.5	1722	2140	1213	1559.6	1927.3	1397.4	2202.2	1454.3	1902.1	1675.9	1478.9	1580.1	1789.2	2287	1443	1864.3	1495.7	2430.5	1801.1	1497.7	1634.5	1915.3	1161	2036.1	1599.4	1732.8	1808.3	1460.5	1764.2	1550.7	2078
4991-12	GPC5	P78333	GPC5	1052.9	1148.3	2316.7	862.2	782.3	825.9	723.8	1084.2	844.9	940.7	1537.9	1196.2	866.4	909.5	632.2	1746.8	770.3	1044.4	1025.4	563.5	852.2	986.3	862.4	745	1200.4	865.4	1733.5	832.1	770	2903.7	625.1	3077.7	912.6	1614.7	552.8	1134	547.1	1017.7	1807.8	1053.4
4992-49	GRN	P28799	GRN	13095.3	15888.1	15640.4	13446.6	9796.9	13401.2	14757.4	14019.7	15813.4	15445.7	12636.1	9131.8	9856.1	16646.6	10416.7	13543.9	15002.2	12266.4	13883.3	14124.2	17287.8	12643.1	13168.9	11663.7	14240.7	15117.5	13726.4	14855.4	13622.9	12729.9	13474.1	11050.7	14528.1	11658.9	12757	20975.6	12338.6	17932.2	12841.9	16347.8
4993-16	GSTA3	Q16772	GSTA3	167	134.1	267.6	135.2	202.1	166.6	190.9	155.4	133.2	102	263.2	97.6	108.4	133.6	120.7	313	121.1	360.1	152.8	606.3	111.6	126	146.8	138.7	153.4	707.3	187.5	151.3	108.3	117.4	148.4	127	540.3	246.5	102.3	184.8	128.9	108.1	139.7	136
4995-16	HPG-	P15428	HPGD	2116.3	2045.3	3027.3	2044.7	1624.9	2201.5	1542	1912.7	1767.3	1798.5	4959.5	1408.2	1657.2	1949.9	1741.8	9690.4	1250.8	1386.2	1950.7	1333.3	1756	1654.7	1555.6	1698.4	1543.2	1897.7	3668.4	2010.8	1588.2	1931.4	2022	1923.7	1591.4	1774.2	1281.2	1873.8	1567.5	1527.3	1757	1946
4996-66	HRG	P04196	HRG	2560.1	2410.7	2888.6	1192.8	1607	1429.1	5903.6	1099.4	2026.1	1898.6	1221	1593.8	1709.8	1661.6	1369.9	1152.8	1450.7	2205.3	1779.7	1034.7	1740.8	2642.1	2667.7	1239.7	2195.8	3014.2	963	2283.7	1427.4	2366.5	2538.2	2526.6	2021.7	1822	2318.4	3429.2	1106.2	3060.9	1498.2	2319
4997-19	IF4A3	P38919	EIF4A3	491.7	469.3	897	453.5	463.8	649	430.8	533.7	438.5	413.4	767.7	393.1	479.3	455.8	338	718.9	381.7	360.3	484.7	342.5	375.9	406.7	607.9	408.1	426.2	556.2	1068.4	525.4	346.4	509.9	399.2	447.3	397.3	548	392.8	530.8	387.3	516.2	585.7	495.7
5000-52	LG3BP	Q08380	LGALS3BP	14373.4	6685.3	12844.3	7237.4	16631.6	10474.1	7614.5	14073.6	8210.2	6302.3	10022	8703.7	12092	8309.6	4956.6	7156.2	10416.7	11271.7	9030.4	10479.2	9212.3	9436.9	16551.5	16938.2	10335.8	8016.7	10326	12588.3	11075.4	9960.5	9475.7	8416.6	8806.6	14315.7	20525.9	7186	16853.4	11618.2	6278.7	11524.1
5001-6	Mammaglobin 2	O75556	SCGB2A1	12892.1	10366.2	16369.3	11728.2	11885	13094.8	8519.7	12373.9	9505.4	7205.3	21797.4	9670.5	8795.2	8845.7	8945.2	25153.6	7897	7720.2	11681.2	5816.4	11252.2	10428.4	8781	9264.5	11841.1	12567.2	16800.8	10615.3	9911.9	9062.7	9792	7507.5	7789.4	11623.4	6286	14244.4	6297.5	6822.4	10651.5	10571.9
5002-76	MMP-14	P50281	MMP14	771.4	686.7	1630.6	702.4	861.4	658.5	691.7	824.5	596.2	545.7	981.8	516	638.5	640.3	500.1	1097.7	617.5	763.8	757.8	471.3	572.9	586.2	1832.5	1600.2	838.1	929.7	947	4501.2	522.9	576.2	1499.9	550.8	540.6	1037.7	510.3	932.6	669.9	698.3	811.8	639.9
5004-69	MK11	Q15759	MAPK11	435.7	426.3	702.1	579.7	520.6	457.4	721.6	476.5	479.9	471.2	632.8	348.2	453.8	465.8	375.5	805.5	387.9	408.7	457.9	312.5	393.5	438.5	529.3	449.9	467.3	603.7	592.6	476.1	391.5	416.9	495.9	393.9	1580.3	635.5	361.7	572.6	452.1	630.6	492.3	404.1
5005-4	MK12	P53778	MAPK12	521.1	546.9	869.9	565.1	625.9	561.6	516	637.5	553.2	534	811.3	544.1	548.1	569.7	427.3	781.5	516.1	481.6	656.1	432	638	532.7	556.3	483.3	528.6	580.3	783.9	694.9	498.1	524.6	494.6	515.8	493.6	695.7	391.8	669	468.9	527.8	668.8	560.9
